vacc_date,received_at_least_one_dose,full_regimen,minimum_protection,received_one_dose_pcttakeup,full_regimen_pcttakeup,minimum_protection_pcttakeup
2020-12-30,629.0,14.0,9.0,0.01,0.0,0.0
2020-12-31,679.0,15.0,9.0,0.01,0.0,0.0
2021-01-01,721.0,15.0,9.0,0.01,0.0,0.0
2021-01-02,764.0,15.0,9.0,0.01,0.0,0.0
2021-01-03,814.0,15.0,9.0,0.01,0.0,0.0
2021-01-04,914.0,15.0,9.0,0.02,0.0,0.0
2021-01-05,1002.0,19.0,9.0,0.02,0.0,0.0
2021-01-06,1132.0,22.0,9.0,0.02,0.0,0.0
2021-01-07,1256.0,26.0,9.0,0.02,0.0,0.0
2021-01-08,2111.0,37.0,9.0,0.04,0.0,0.0
2021-01-09,2570.0,43.0,9.0,0.04,0.0,0.0
2021-01-10,2798.0,47.0,9.0,0.05,0.0,0.0
2021-01-11,4956.0,51.0,9.0,0.08,0.0,0.0
2021-01-12,7848.0,64.0,9.0,0.13,0.0,0.0
2021-01-13,11951.0,79.0,9.0,0.2,0.0,0.0
2021-01-14,16727.0,93.0,9.0,0.29,0.0,0.0
2021-01-15,22059.0,106.0,9.0,0.38,0.0,0.0
2021-01-16,23830.0,119.0,9.0,0.41,0.0,0.0
2021-01-17,24546.0,130.0,9.0,0.42,0.0,0.0
2021-01-18,32009.0,165.0,9.0,0.55,0.0,0.0
2021-01-19,40126.0,219.0,9.0,0.68,0.0,0.0
2021-01-20,49162.0,329.0,9.0,0.84,0.01,0.0
2021-01-21,56783.0,397.0,9.0,0.97,0.01,0.0
2021-01-22,64473.0,436.0,9.0,1.1,0.01,0.0
2021-01-23,69205.0,464.0,9.0,1.18,0.01,0.0
2021-01-24,73660.0,543.0,9.0,1.26,0.01,0.0
2021-01-25,85494.0,616.0,9.0,1.46,0.01,0.0
2021-01-26,97930.0,709.0,9.0,1.67,0.01,0.0
2021-01-27,111583.0,750.0,9.0,1.9,0.01,0.0
2021-01-28,125919.0,820.0,9.0,2.15,0.01,0.0
2021-01-29,139713.0,1559.0,9.0,2.38,0.03,0.0
2021-01-30,146804.0,1960.0,9.0,2.5,0.03,0.0
2021-01-31,152333.0,2180.0,9.0,2.6,0.04,0.0
2021-02-01,161328.0,4273.0,9.0,2.75,0.07,0.0
2021-02-02,170845.0,6750.0,9.0,2.91,0.12,0.0
2021-02-03,182102.0,10427.0,9.0,3.1,0.18,0.0
2021-02-04,190744.0,14783.0,9.0,3.25,0.25,0.0
2021-02-05,200053.0,19997.0,9.0,3.41,0.34,0.0
2021-02-06,204384.0,21640.0,9.0,3.48,0.37,0.0
2021-02-07,206686.0,22358.0,9.0,3.52,0.38,0.0
2021-02-08,210708.0,29757.0,9.0,3.59,0.51,0.0
2021-02-09,214352.0,37836.0,9.0,3.65,0.64,0.0
2021-02-10,217418.0,46704.0,9.0,3.71,0.8,0.0
2021-02-11,218859.0,49616.0,9.0,3.73,0.85,0.0
2021-02-12,218962.0,49645.0,9.0,3.73,0.85,0.0
